"","players","player.cash","player.comfort","bankrupt.players","turn","total.value.fifteen","owned.blue","times.in.jail","properties.sold","color.sets","props.at.five","stale.mate"
"1",1,-5,0.95,4,70,0,0,2,22,4,0,0
"2",2,-40,0.48,1,11,0,0,2,6,0,5,0
"3",3,-149,0.39,3,34,0,0,0,7,1,3,0
"4",4,3994,0.11,0,88,2590,1,2,13,3,0,0
"5",5,-634,0.59,2,21,560,1,2,7,0,3,0
"6",6,-712,0.28,5,85,1718,0,3,17,1,0,0
"7",1,-473,0.7,1,8,0,0,1,7,1,5,0
"8",2,-50,0.6,2,13,0,0,1,10,1,0,0
"9",3,-1143,0.57,3,16,257,0,0,5,0,5,0
"10",4,-950,0.79,4,25,3442,0,0,14,0,1,0
"11",5,2401,0.39,0,52,3527,1,4,7,2,0,0
"12",6,-441,0.49,5,52,1974,0,1,12,0,1,0
"13",1,-1210,0.44,3,49,2233,1,2,7,1,1,1
"14",2,-1385,0.55,1,24,1259,0,1,11,1,5,1
"15",3,-1828,0.1,4,57,1488,0,1,9,3,0,1
"16",4,20958,0.83,0,490,1515,1,21,4,6,3,1
"17",5,-1236,0.32,2,35,2374,0,3,9,1,1,1
"18",6,5856,0.54,5,501,1266,1,16,13,3,3,1
"19",1,-459,0.05,3,42,1822,0,4,0,0,0,0
"20",2,-531,0.57,5,83,0,1,3,20,3,1,0
"21",3,-687,0.04,4,39,1588,0,0,0,0,0,0
"22",4,1707,0.64,0,77,1735,1,7,9,4,1,0
"23",5,-26,0.53,2,34,1008,0,6,12,1,6,0
"24",6,-46,0.92,1,23,1026,0,9,6,1,3,0
"25",1,-21,0.58,5,239,2042,1,3,25,5,4,0
"26",2,-1,0.31,4,173,1506,0,6,6,1,2,0
"27",3,-240,0.53,2,49,1449,1,0,12,2,1,0
"28",4,-19,0.16,3,132,2554,1,3,10,1,0,0
"29",5,24313,0.71,0,244,1945,0,2,8,5,3,0
"30",6,-13,0.91,1,25,717,0,1,9,2,2,0
"31",1,-419,0.04,2,46,1071,0,5,0,0,0,1
"32",2,5884,0.55,5,483,3163,1,15,10,3,3,1
"33",3,35885,0.75,0,501,3053,1,16,6,5,0,1
"34",4,-436,0.06,3,52,1392,0,1,0,0,0,1
"35",5,-107,0.15,4,164,1897,0,4,7,1,2,1
"36",6,-222,0.25,1,22,448,0,1,5,1,2,1
"37",1,-12,0.13,5,47,0,0,2,7,0,1,0
"38",2,5336,0.86,0,49,2374,1,2,11,2,1,0
"39",3,-5,0.48,2,25,83,0,3,10,1,4,0
"40",4,-949,0.51,1,6,0,0,0,7,1,5,0
"41",5,-896,0.06,3,46,1853,0,1,1,0,0,0
"42",6,-1668,0.61,4,46,3127,1,2,17,1,0,0
"43",1,-61,0.25,4,54,2413,0,0,17,3,3,1
"44",2,7851,0.18,5,496,0,1,9,11,4,0,1
"45",3,-289,0.83,3,48,2814,1,0,13,3,0,1
"46",4,22377,0.29,0,501,2285,1,17,8,4,1,1
"47",5,-45,0.81,2,22,0,1,2,7,1,3,1
"48",6,-193,0.67,1,18,650,1,0,15,0,0,1
"49",1,-320,0.94,1,27,0,1,1,11,2,3,0
"50",2,-525,0.11,4,53,1641,0,0,10,2,1,0
"51",3,33,0.68,3,37,2617,0,1,8,1,0,0
"52",4,-933,0.46,5,132,1070,1,5,27,2,3,0
"53",5,6251,0.77,0,145,2462,1,4,10,7,1,0
"54",6,-465,0.1,2,35,1060,0,0,5,2,3,0
"55",1,34450,0.25,0,500,2016,1,10,5,4,2,1
"56",2,16299,0.31,5,496,3067,1,20,11,2,2,1
"57",3,8769,0.21,4,501,1887,0,23,5,2,0,1
"58",4,-209,0.83,2,22,1375,0,1,6,1,3,1
"59",5,-77,0.54,3,224,1756,1,4,16,4,4,1
"60",6,-1759,0.94,1,13,0,0,0,9,2,5,1
"61",1,-7,0.73,5,103,2024,0,1,21,3,3,0
"62",2,-196,0.05,2,32,168,0,3,0,0,0,0
"63",3,-24,0.12,4,87,1437,0,1,10,1,1,0
"64",4,-7,0.66,1,18,140,1,1,10,0,3,0
"65",5,-272,0.06,3,53,650,0,4,0,0,0,0
"66",6,7363,0.38,0,108,5738,1,3,5,7,4,0
"67",1,-95,0.61,5,52,4314,1,1,15,1,1,0
"68",2,7762,0.48,0,51,2774,0,1,11,2,2,0
"69",3,-226,0.07,3,31,1734,0,1,2,0,0,0
"70",4,-992,0.77,1,12,0,0,0,10,2,3,0
"71",5,-547,0.72,4,48,1091,1,1,14,1,2,0
"72",6,-3257,0.66,2,16,-1606,1,1,13,2,3,0
"73",1,-73,0.38,3,30,318,0,5,5,0,2,0
"74",2,-42,0.06,1,18,0,0,0,2,1,0,0
"75",3,-1647,0.04,2,30,0,0,0,0,0,0,0
"76",4,-761,0.69,5,40,1583,0,6,11,0,3,0
"77",5,4193,0.79,0,43,2735,1,2,10,2,0,0
"78",6,-350,0.81,4,34,3722,1,1,13,3,4,0
"79",1,4510,0.97,0,48,3328,1,0,4,4,1,0
"80",2,-2,0.63,2,11,0,1,0,6,1,1,0
"81",3,-191,0.58,4,43,3604,1,3,14,2,2,0
"82",4,-434,0.91,1,7,0,0,0,6,1,2,0
"83",5,-84,0.36,5,43,1843,0,1,9,0,1,0
"84",6,-880,0.74,3,12,0,0,1,7,1,0,0
"85",1,-424,0.91,5,56,1890,0,3,21,2,3,0
"86",2,-440,0.07,4,39,0,0,1,2,1,0,0
"87",3,-231,0.13,3,40,738,0,1,7,1,3,0
"88",4,4612,0.36,0,54,4725,1,3,10,3,4,0
"89",5,-1922,0.95,1,6,0,0,1,8,1,6,0
