"","Var1","Freq","winning.prop","prop.order$money.made","prop.order$group"
"1",1,12,TRUE,2750,1
"3",3,4,TRUE,1350,1
"5",5,14,FALSE,300,9
"6",6,9,TRUE,42,2
"8",8,4,TRUE,0,2
"9",9,8,TRUE,144,2
"11",11,7,TRUE,80,3
"12",12,9,TRUE,390,0
"13",13,6,TRUE,190,3
"14",14,9,TRUE,204,3
"15",15,12,FALSE,1075,9
"16",16,8,TRUE,98,4
"18",18,6,FALSE,84,4
"19",19,6,TRUE,32,4
"21",21,13,FALSE,448,5
"23",23,12,FALSE,288,5
"24",24,11,FALSE,280,5
"25",25,11,FALSE,1050,9
"26",26,6,FALSE,2084,6
"27",27,6,FALSE,1570,6
"28",28,6,FALSE,390,0
"29",29,8,FALSE,1978,6
"31",31,7,FALSE,26,7
"32",32,9,FALSE,104,7
"34",34,10,FALSE,0,7
"35",35,2,FALSE,1150,9
"37",37,7,TRUE,0,8
"39",39,7,FALSE,100,8
"17",1,6,TRUE,6,1
"33",3,2,FALSE,0,1
"51",5,5,TRUE,400,9
"61",6,2,FALSE,550,2
"81",8,5,FALSE,12,2
"91",9,5,TRUE,16,2
"111",11,5,FALSE,10,3
"121",12,5,TRUE,150,0
"131",13,5,FALSE,20,3
"141",14,5,FALSE,36,3
"151",15,2,TRUE,0,9
"161",16,5,TRUE,42,4
"181",18,4,TRUE,14,4
"191",19,3,FALSE,16,4
"211",21,3,TRUE,0,5
"231",23,8,TRUE,1040,5
"241",24,7,TRUE,830,5
"251",25,4,TRUE,0,9
"261",26,5,TRUE,22,6
"271",27,4,FALSE,0,6
"282",28,7,TRUE,80,0
"291",29,3,FALSE,24,6
"311",31,6,FALSE,0,7
"321",32,5,FALSE,78,7
"341",34,2,FALSE,28,7
"351",35,5,TRUE,400,9
"371",37,7,TRUE,4300,8
"281",39,0,TRUE,6000,8
"110",1,22,TRUE,818,1
"36",3,22,TRUE,2362,1
"52",5,46,FALSE,6225,9
"62",6,27,TRUE,276,2
"82",8,13,TRUE,132,2
"92",9,28,TRUE,392,2
"112",11,71,TRUE,850,3
"122",12,16,TRUE,920,0
"132",13,21,TRUE,360,3
"142",14,30,TRUE,552,3
"152",15,43,FALSE,6850,9
"162",16,35,TRUE,1078,4
"182",18,31,TRUE,812,4
"192",19,38,TRUE,1040,4
"212",21,30,TRUE,24500,5
"232",23,34,TRUE,20370,5
"242",24,40,TRUE,23780,5
"252",25,57,FALSE,8400,9
"262",26,20,FALSE,1474,6
"272",27,36,FALSE,1364,6
"283",28,28,TRUE,1772,0
"292",29,24,FALSE,888,6
"312",31,30,FALSE,1066,7
"322",32,29,FALSE,1274,7
"342",34,35,FALSE,1064,7
"352",35,5,FALSE,6600,9
"372",37,24,TRUE,1505,8
"391",39,24,TRUE,2050,8
"113",1,4,TRUE,500,1
"38",3,6,FALSE,2250,1
"53",5,10,TRUE,200,9
"63",6,7,TRUE,12,2
"83",8,7,TRUE,12,2
"93",9,4,TRUE,8,2
"114",11,12,TRUE,80,3
"123",12,10,FALSE,340,0
"133",13,6,TRUE,40,3
"143",14,5,FALSE,48,3
"153",15,10,TRUE,350,9
"163",16,13,TRUE,8392,4
"183",18,9,TRUE,4792,4
"193",19,6,TRUE,3200,4
"213",21,6,FALSE,1230,5
"233",23,11,FALSE,4362,5
"243",24,5,FALSE,2500,5
"253",25,11,TRUE,950,9
"263",26,6,TRUE,88,6
"273",27,7,TRUE,866,6
"284",28,8,FALSE,270,0
"293",29,6,TRUE,120,6
"313",31,5,FALSE,182,7
"323",32,5,FALSE,0,7
"343",34,6,FALSE,56,7
"353",35,3,TRUE,700,9
"373",37,4,TRUE,0,8
"392",39,7,TRUE,100,8
"115",1,15,TRUE,56,1
"310",3,19,TRUE,104,1
"54",5,33,TRUE,4300,9
"64",6,14,TRUE,300,2
"84",8,16,TRUE,372,2
"94",9,23,TRUE,752,2
"116",11,24,TRUE,870,3
"124",12,37,FALSE,990,0
"134",13,17,TRUE,730,3
"144",14,16,TRUE,828,3
"154",15,26,TRUE,3650,9
"164",16,20,TRUE,280,4
"184",18,30,FALSE,532,4
"194",19,26,FALSE,432,4
"214",21,23,TRUE,1094,5
"234",23,29,TRUE,1062,5
"244",24,23,FALSE,900,5
"254",25,31,TRUE,4400,9
"264",26,33,TRUE,1540,6
"274",27,16,TRUE,440,6
"285",28,30,FALSE,1580,0
"294",29,17,TRUE,600,6
"314",31,26,TRUE,858,7
"324",32,32,TRUE,1196,7
"344",34,22,TRUE,728,7
"354",35,2,TRUE,4200,9
"374",37,23,FALSE,595,8
"393",39,22,FALSE,1150,8
"117",1,28,TRUE,782,1
"315",3,33,TRUE,1920,1
"55",5,38,FALSE,6350,9
"65",6,20,TRUE,174,2
"85",8,26,TRUE,222,2
"95",9,27,TRUE,352,2
"118",11,89,TRUE,26250,3
"125",12,47,TRUE,2320,0
"135",13,24,TRUE,10350,3
"145",14,28,TRUE,13500,3
"155",15,25,FALSE,3600,9
"165",16,30,FALSE,756,4
"185",18,40,FALSE,952,4
"195",19,42,FALSE,960,4
"215",21,27,TRUE,828,5
"235",23,36,TRUE,1134,5
"245",24,55,TRUE,1600,5
"255",25,31,FALSE,5100,9
"265",26,35,FALSE,1430,6
"275",27,27,FALSE,1034,6
"286",28,40,TRUE,2066,0
"295",29,35,FALSE,1584,6
"316",31,28,FALSE,1638,7
"325",32,29,FALSE,1274,7
"345",34,31,FALSE,1260,7
"355",35,9,FALSE,5700,9
"375",37,34,TRUE,1610,8
"394",39,30,TRUE,1650,8
"119",1,4,TRUE,590,1
"317",3,2,TRUE,450,1
"56",5,8,FALSE,125,9
"66",6,6,FALSE,18,2
"86",8,7,FALSE,12,2
"96",9,5,FALSE,8,2
"1110",11,1,FALSE,0,3
"126",12,10,FALSE,208,0
"136",13,4,TRUE,60,3
"146",14,5,FALSE,180,3
"156",15,11,TRUE,75,9
"166",16,3,FALSE,0,4
"186",18,7,FALSE,56,4
"196",19,7,FALSE,96,4
"216",21,6,FALSE,36,5
"236",23,8,FALSE,18,5
"246",24,8,FALSE,40,5
"256",25,3,FALSE,200,9
"266",26,7,FALSE,0,6
"276",27,5,TRUE,132,6
"287",28,6,FALSE,260,0
"296",29,8,TRUE,120,6
"318",31,6,TRUE,104,7
"326",32,7,FALSE,0,7
"346",34,1,TRUE,168,7
"356",35,12,FALSE,0,9
"376",37,6,TRUE,4520,8
"395",39,10,TRUE,3700,8
"120",1,25,FALSE,164,1
"319",3,32,FALSE,244,1
"57",5,36,TRUE,4100,9
"67",6,25,TRUE,11418,2
"87",8,23,TRUE,10726,2
"97",9,24,TRUE,11008,2
"1111",11,30,TRUE,10240,3
"127",12,50,FALSE,1780,0
"137",13,28,TRUE,9080,3
"147",14,22,TRUE,3084,3
