"","players","player.cash","player.comfort","bankrupt.players","turn","total.value.fifteen","owned.blue","times.in.jail","properties.sold","color.sets","props.at.five"
"1",1,-45,0.78,5,63,4853,1,2,28,3,0
"2",2,-131,0.93,1,7,0,0,0,6,1,4
"3",3,949,0.53,0,61,0,0,2,10,2,3
"4",4,-257,0.8,2,7,0,1,0,7,1,4
"5",5,-30,0.95,3,27,1752,0,1,14,0,3
"6",6,-654,0.61,4,45,0,0,2,6,1,4
"7",1,-125,0.12,2,28,1379,0,3,4,1,3
"8",2,-1017,0.58,1,28,1726,0,4,9,2,3
"9",3,3392,0.67,0,62,1004,1,3,8,2,0
"10",4,-816,0.19,4,51,1873,0,1,10,1,2
"11",5,-367,0.49,5,64,2362,1,0,23,3,0
"12",6,-33,0.65,3,31,1341,0,6,8,2,3
"13",1,-511,0.39,1,9,0,1,0,8,1,0
"14",2,-250,0.59,2,9,0,0,0,10,2,6
"15",3,-151,0.43,5,89,2511,1,2,21,2,0
"16",4,1265,0.21,0,89,1215,0,2,4,2,2
"17",5,-44,0.53,4,36,0,0,0,15,1,1
"18",6,-1199,0.62,3,25,1356,0,1,4,0,1
"19",1,-238,0.27,2,40,1270,0,0,12,2,4
"20",2,3841,0.18,0,46,1877,1,1,4,3,0
"21",3,-720,0.31,3,51,0,1,0,11,0,1
"22",4,-1046,0.04,4,44,1606,0,4,0,0,0
"23",5,-187,0.41,1,30,788,0,0,10,3,4
"24",6,-148,0.36,5,41,0,0,2,9,1,0
"25",1,-466,0.3,3,33,1230,0,2,8,1,0
"26",2,-797,0.97,1,19,2528,0,1,7,1,3
"27",3,-841,0.65,5,91,2190,1,4,27,6,2
"28",4,3924,0.91,0,81,0,1,0,9,1,3
"29",5,-25,0.74,2,38,1380,1,0,8,2,3
"30",6,-404,0.05,4,53,0,0,4,0,0,0
"31",1,-1544,0.26,1,38,1263,0,0,12,1,4
"32",2,4738,0.9,0,45,3094,1,1,7,2,2
"33",3,-115,0.21,4,43,0,0,3,4,1,2
"34",4,-925,0.55,2,36,1135,1,0,10,2,0
"35",5,-548,0.29,5,47,1860,1,2,13,2,1
"36",6,-287,0.77,3,37,1665,0,1,13,2,0
"37",1,-127,0.57,3,28,2351,1,0,10,0,2
"38",2,-265,0.59,2,16,1346,0,0,5,1,0
"39",3,2278,0.67,0,63,1846,1,0,6,2,5
"40",4,-677,0.87,5,63,2991,1,6,17,3,4
"41",5,-494,0.1,4,39,1318,0,0,6,2,3
"42",6,-376,0.4,1,13,0,0,0,6,2,0
"43",1,-861,0.5,2,21,988,0,0,5,1,3
"44",2,1695,0.23,0,75,3995,0,2,12,3,0
"45",3,-151,0.47,3,41,743,0,3,5,1,2
"46",4,-234,0.29,1,23,0,0,1,5,1,2
"47",5,-172,0.96,4,49,2004,0,1,10,1,5
"48",6,-717,0.33,5,68,1678,1,2,15,2,0
"49",1,4060,0.25,0,82,1128,1,3,4,2,2
"50",2,-495,0.08,5,80,1305,0,2,9,3,3
"51",3,-265,0.27,3,30,0,1,0,7,2,0
"52",4,-403,0.39,1,28,0,1,0,10,0,1
"53",5,-581,0.35,2,30,1282,0,1,5,0,2
"54",6,-790,0.09,4,64,1730,0,2,8,0,0
"55",1,-602,0.07,4,36,1371,0,0,1,0,0
"56",2,-617,0.77,5,61,0,1,0,21,3,0
"57",3,-22,0.56,1,9,0,0,0,9,2,0
"58",4,-341,0.76,2,10,0,0,2,6,0,4
"59",5,-935,0.8,4,48,2506,0,1,11,1,4
"60",6,4736,0.14,0,47,2748,0,2,1,2,2
"61",1,939,0.97,0,73,0,1,2,10,3,5
"62",2,-297,0.21,5,67,2587,0,5,13,1,2
"63",3,-30,0.46,2,22,864,0,1,9,0,3
"64",4,-402,0.68,4,37,3644,0,1,8,1,0
"65",5,-58,0.64,1,17,0,1,0,8,2,0
"66",6,-84,0.31,3,27,1087,0,0,4,1,2
"67",1,-10,0.27,3,43,2816,0,5,13,2,0
"68",2,-61,0.67,2,31,482,0,0,4,1,3
"69",3,-121,0.43,5,64,1401,0,2,14,2,3
"70",4,5830,0.9,0,75,2429,1,2,10,2,2
"71",5,-888,0.88,4,56,1406,1,1,22,0,2
"72",6,-32,0.57,1,9,0,0,0,11,2,6
"73",1,-458,0.62,4,49,3449,1,2,19,3,2
"74",2,-664,0.71,2,25,786,0,2,6,1,1
"75",3,-471,0.08,5,99,1866,0,2,1,0,0
"76",4,1541,0.22,0,94,1878,1,7,12,3,0
"77",5,-503,0.39,3,39,0,0,1,9,0,0
"78",6,-1175,0.7,1,21,1044,1,0,12,2,2
"79",1,-486,0.15,2,35,0,0,0,6,2,3
"80",2,4775,0.19,0,44,2931,1,4,4,3,0
"81",3,-571,0.26,6,48,2853,1,0,19,2,0
"82",4,-1039,0.29,1,21,1049,1,0,10,1,0
"83",5,-949,0.11,3,34,1331,0,4,0,0,0
"84",6,-372,0.44,4,34,1570,0,0,6,1,0
"85",1,1283,0.33,0,60,3598,1,3,4,3,0
"86",2,-14,0.84,4,31,2261,1,0,12,1,2
"87",3,-551,0.97,3,20,1150,0,1,8,1,0
"88",4,-88,0.89,2,17,822,1,0,8,2,2
"89",5,-166,0.61,5,63,2428,0,2,11,2,6
"90",6,-35,0.78,1,7,0,0,0,6,0,5
"91",1,-1919,0.01,4,36,1636,0,4,0,0,0
"92",2,1057,0.77,0,50,2586,0,3,7,1,1
"93",3,-175,0.72,2,22,1543,1,3,8,0,1
"94",4,-1606,0.71,3,33,0,0,0,12,1,2
"95",5,-578,0.97,1,8,0,0,0,9,1,3
"96",6,-100,0.42,5,46,2159,1,9,11,2,2
"97",1,-64,0.99,4,41,2400,0,1,9,0,1
"98",2,5943,0.62,0,52,1458,1,1,8,2,3
"99",3,-242,0.23,3,39,0,0,1,6,0,1
"100",4,-40,0.37,5,58,1612,0,2,18,2,2
"101",5,-460,0.95,1,5,0,0,0,8,1,7
"102",6,-448,0.21,2,30,2366,0,0,15,3,1
"103",1,-80,0.58,2,26,1594,0,0,13,1,3
"104",2,-805,0.28,5,59,0,0,3,12,1,1
"105",3,-84,0.75,3,28,1642,1,0,5,0,0
"106",4,1195,0.47,0,60,3462,1,0,7,4,4
"107",5,-512,0.83,1,12,0,0,0,10,2,2
"108",6,-178,0.08,4,31,0,0,0,2,1,0
"109",1,-318,0.66,4,41,2521,1,0,16,1,1
"110",2,5775,0.76,0,45,1362,1,2,7,1,0
"111",3,-233,0.02,3,23,778,0,2,0,0,0
"112",4,-1003,0.8,1,17,247,1,0,10,0,5
"113",5,-959,0.1,2,14,-959,0,1,2,0,0
"114",6,-274,0.48,5,48,2457,0,2,10,1,2
"115",1,-27,0.6,5,50,3152,1,1,14,3,3
"116",2,-76,0.86,1,11,0,0,1,10,0,4
"117",3,-90,0.1,3,33,1611,0,1,0,0,0
"118",4,-100,0.7,2,21,2340,1,0,10,1,0
"119",5,6786,0.51,0,49,1379,1,2,5,1,0
"120",6,-23,0.06,4,36,870,0,3,2,1,0
"121",1,-825,0.65,4,48,0,0,1,13,0,0
"122",2,-311,0.69,3,21,2314,1,1,9,2,0
"123",3,-377,0.46,5,113,3364,1,5,30,2,1
"124",4,789,0.13,0,114,1913,0,2,5,3,2
"125",5,-435,0.38,2,19,291,0,0,5,0,5
"126",6,-167,0.58,1,12,0,0,0,4,0,0
"127",1,-974,0,5,63,1806,0,2,0,0,0
"128",2,-398,0.82,3,41,3547,1,3,15,1,3
"129",3,-94,0.51,1,10,0,1,2,4,1,2
"130",4,-148,0.89,2,26,708,0,3,11,2,3
"131",5,2042,0.46,0,68,2394,1,4,6,4,0
"132",6,-409,0.2,4,49,1353,0,6,8,1,3
"133",1,-109,0.43,2,43,0,0,0,14,1,0
"134",2,3690,0.29,0,78,3776,1,5,11,2,1
"135",3,-823,0.8,3,41,1158,0,0,10,1,3
"136",4,-21,0.06,4,51,0,0,1,0,0,0
"137",5,-127,0.5,1,13,0,1,0,9,1,1
"138",6,-759,0.09,5,90,1654,0,4,7,1,0
"139",1,-470,0.23,4,43,1624,0,1,11,1,0
"140",2,-943,0.8,3,33,891,1,2,10,1,3
"141",3,-46,0.99,1,24,551,1,0,6,2,0
"142",4,-31,0.26,2,26,1157,0,0,3,1,0
"143",5,-89,0.19,5,50,3349,0,1,10,1,1
"144",6,4240,0.84,0,48,1582,1,3,5,3,0
"145",1,-1671,0.53,5,66,964,1,0,17,0,2
"146",2,1492,0.33,0,63,2041,1,1,8,3,2
"147",3,-1909,0.05,4,55,1168,0,4,1,0,1
"148",4,-32,0.18,3,57,2548,0,0,16,3,2
"149",5,-15,0.76,2,39,3209,0,0,10,3,5
"150",6,-641,0.49,1,9,0,0,0,6,0,2
"151",1,-11,0.15,3,42,2124,0,0,6,1,1
"152",2,-202,0.75,2,25,2283,1,0,7,1,2
"153",3,-213,0.49,5,50,1622,0,4,19,1,5
"154",4,-169,0.48,4,43,1664,0,1,5,0,0
"155",5,3801,0.13,0,54,2513,1,2,4,3,1
"156",6,-127,0.85,1,20,0,0,1,13,1,2
"157",1,687,0.97,0,68,4492,1,3,9,4,2
"158",2,-956,0.4,1,16,0,0,1,6,0,2
"159",3,-1392,0.88,3,18,716,0,2,5,1,2
"160",4,-1199,0.28,2,22,1151,0,0,10,1,2
"161",5,-63,0.52,4,20,1787,0,1,9,2,0
"162",6,-521,0.16,5,71,799,0,1,7,1,1
